#saharukhkhan,2
#salmankhan,23
#dhoni,4
#deepikapadukone,12
#priyankachopra,4
#indiancricketers,2
#bollywoodcelebs,4
#waterliteracy,2
#greenindiachallenge,4
#h2otoall,2
#walkforwater,2
#harahaitohbharahai,2
#lekhaprajapati,4
#coranaversusindia,2
#tiktok,64
#scorpio,2
#scorpiolovers,2
#citco,2
#citco_chandiigarh,2
#gediroute,2
#chandigarh,63
#sidhumoosewala,4
#divider,2
#dhaka,2
#football,4
#messi,2
#neymar,2
#njr,2
#ronaldo,2
#toronto,2
#pawankalyan,16
#ccpvirus,8
#21daysoflockdownindia,2
#nareshit,2
#hyderabad,69
#chinaoriginvirus,6
#indiavscorona,66
##without,1
#india.if,1
#cmobihar,2
#aapbihar,2
#sushilsingh,2
#fakepromises,2
#coronavirusindia.,2
#war,12
#nomorelockdown,2
#2019ncov,55
#21dayslockdownsa,20
#bjp,80
#covid2019.,6
#sakalmedia,92
#togetherwecan,12
#madeinchina,8
#islamicstate,4
#gurudwaraattack,2
#breakthechain,77
#fightagainstcovid19,81
#indianrailways,30
#railminindia,4
#stayinstaysafe,4
#racist,4
#saynotoracism,2
#chesinapani,2
#route,2
#fanforever,2
#greatinitiation,2
#trueleader,2
#applause,2
#pmmodioncorona,14
#pakistan's,1
#baburmissile,2
#bharat,20
#nitish,4
#don't,1
#satyhomestaysafe,6
#godhelpus,2
#corinnavirus,6
#caronavirusoutbreak,18
#chinesecovid-19,2
#vakeelsaab,4
#impact,4
#of,8
#staysafeathome,19
#besafeindia,2
#keepstayathome,2
#fucking,2
#floydcardoz,2
#policebrutality,20
#killcorona,10
#worldwar3,8
#america,17
#superstar.,1
#save,14
#starmaker,10
#karaoke,8
#sing,8
#trivikram,2
#istayhomefor,4
#coronaoutbreakindia,4
#20,2
#2yodoindia,12
#shanghai,7
#beijing,18
#milan,4
#iran,18
#thursdaymotivation,25
#standwithdailywageearners,2
#_____,12
#coronovirusindia,14
"#corona,take",1
"#lockdown21""",1
#chinaliespeopledie,22
#wuhanvirus,54
#update,30
#business,74
#tnec,2
#assam,50
#numaligarh,2
#golaghat,2
#jharkhand,34
#powerstar,6
#janasena,2
#__,80
#covid19@@ashokgehlot51,1
#stopfakenews,4
#stopcoronatn,2
#astrologically,2
#starwars,4
#videos,14
#videoviral,6
#coronavirusoubreak,76
#indiafightscovid19,176
#hazaribagh,2
#hazaribaghfightcorona,2
#socialdistancingsaveslives,2
#trisshachatterjee,2
#weshallovercome,18
#pawanakalyan,12
#boycottcorona,2
#worldhealthorganization,18
#covid19usa,32
#aboutcorona,2
#longlive,2
#corinavurus,4
#dongri,2
#aamchimumbai,4
#coronacurfew,2
##socialdistancing,1
#selfresponsibility,2
#socialresponsibility,2
#stayinghome,6
#noida,35
#802,1
#smoothestaashu,2
#coronavirusmexico,4
#nikonindiaofficial,2
#nikonasia,2
#nikonartists,2
#natgeoyourshot,6
#yourshotphotographer,2
#birdsofindia,2
#birdphotography,2
