@volgarrity,nothing side conversation didnt expect abhishek answer question amir khan wasnt relevant another icon dont think much know abhishek mediocre actor
@mitchconner,errol spence jr fight danny garcia fall manny pacquiao likely fight amir khan likely tbh mikey stick dazn nd fight theyll bump seal three belt
@sajpakpassion,feel say junaid khan ek taraf jk jo khelne ko taras gia hay usay nahi select karty dosri taraf amir jis ke mentay krty hain amir great like pcbs behaviour jk ridicule
@kippaxcity,ya eagerly wait amir england summer
@bloggerislam,sir syed vs mgq
@mehdinisar,name amir khan meme folder
@dunyanews,comment todays show ayaz amir salman ghani analysis advisors government declaration assets nationality look strange never happen past great khan courage ensure truth reality
@shehzadind,karan johar mahesh bhatt srk amir khan bhansali responsible rajput death must probe
@akrofi,top keeper save first think fold like amir khan
@rajkumarhirani,hi rajkumar genious ji watch pk one request pls make pkii amp get group alien along amir khan land earth let fun filledhumourousneutral way look thingsreligionbeliefs present unique touch way
@beingsalmankhan,iam big fan salman khan srk n amir khan
@sidswarrior,bro hope take load hope follow amir khan foot step choose project log time thats best way
@ikanganaranaut,use word often days
@faridab,nhi rahne ab aisa kuch nhi h
@reallyswara,karina kapur khan
@andrebubbles,fan blow kiss amir khan would get knock
@pcglobe,u see deepika tbt childhood include sip tea amir khan know bollywood well discredit hard work lik hmm say bipasha basu total outsider
@adenzing,ashok kumar brothers raj kaporr brothers rule bollywood still dev anand dilip kumar dharmendra come rock
@zedzz,smhfather amir khan well know film producer
@vivekagnihotri,many bollywood sound people india teach lesson boycott movies karan johar yashraj film anurag kashyap javed akhtar amir khan vishal dadlani etc make understand without people worth
@khudkhushi,thats exactly tell guy behave like darshil amir khan come life cant understand anything lol
@shekharsuman,bhale congress mein ho stand bollywoodmafia bollywoodlobby khans amir khan include kangana shame u worldwantscbiforssr boycott
@salmannizami,prabhu devas want movie save carrier
@erjkali,great actor amir khan
@abhishbanerj,amir khan run hindu phobic series satya mev jayate leader intolerance brigade make hindu phobic movies
@nagendrackp,celebrities also muslims include salman sharukh amir irfan khan even producer singers like armaan malik amaal malik daboo malik also muslims ask convert
@sanakisanatani,already name jesus different form size etc salman khan shahrukh khan amir khan indian jesus pakistani jesus arabian jesus israeli jesus korean jesus etc
@theskindoctor,though india invent covid vaccine congrts scientists
@voiceforindia,really reneee pathetic prt hindus dont raise voice mockery rightly say amir khan seem knowledgeable others india plight
@lostsoulapu,flim indiustry india take money underworld pk movie base mumbai police make arrest amir khan free collaborate underworld ful make business
@navikrstan,probably kangana didnt spend night
@fficialtorres,true think amir khan gonna go far skill set amaze offensively fast couldnt take punch canelo another species though lol floyd fast canelo plus people dont realize hard floyd actually punch
@varun,whole bollywood industry full jihadis enjoy money earnedlooted india still ever see value people speak favor country showcasing video love country
@krithikashukla,amir khan jaise ear
@foreverrishu,controversies credit nepotism bollywood gang lol even amir khan accuse steal credit akshay etc etc
@meenadasnarayan,yes maam thats true ask amir nepotism say one talented get work agree sushant talented
@ravish,dare indirectly criticize hindu
@cigsandpoemsx,sad twts bhai
@pubg,miss plan film amir abdullah khan niazi
@radvaz,thank accept call minorities majority
@apurva,boycott lifetime production house ban call bollywood biggies even akshay amp amir khan highly hypocrite didnt speak single word justice sushant lousy nepokids didnt know sushant boycott people lifetime
@ajeetsinghind,person video say yeh amir khan ke chacha ka bungalow hai jinka death ho gaya tha train se gir kar
@aiyazahmed,tailor make
@kalpanadubey,amir khan
@batoolaamirian,amir bhai bus dont leave imran khan whatever happen still get years trust unite
@solankineha,exactly mam even though u r feminist ur bio u unaware amir khan amp bollywood make famous correct im wrong
@saloodurrani,would claim amir khan boxer pakistani sadiq khan mayor pakistani dual nationals money remittances halal expertise haram dont take money give back earn bcoz youre pakistani us
@marufzaidi,actually amir khan rid kareenas scooter take rajus father emergency ref idiots
@esbrboxing,amir khan actually win card right hand come nowhere send sleep
@kunalkamra,people must die covid corona grasp allcan hanuman chalisa help eradicate corona
@ishkarnbhandari,sir one ssr neighbor mention youtube house belong amir khans chachaji
@madhumitaroych,ekta kapoor amir khan demand cbi want make something sushant want mean something demand cbi justice do
@anantvijay,like amir khan movie
@zaazzk,benchmark courage courage play safe amir khans everything safe
@goelgauravbjp,appreciable good job happen need lesson respect religion gods amir khan also need lesson film pk
@drpratiksha,love cococola ad amir yes nepal pm someone like amir khan nepali character
@americanwinger,amir khan ruin
@nadimelhaddad,dont forget adrien broner vs amir khan
@boxervijender,accept amir khan boxer challenge
@irmohhh,lmao amir timur khan zindabad
@thehustle,important never forget amir khan vs carnelo alvarez amir khan try jump weight think hes fast take one devastate blow thats summary always stay lane
@theonedao,indian anglicans former ashrafs dont look typically indian resemble much closely indian actor amir khan ashraf arab origin
@arjuntiwari,suddenly start follow alia bhatteven karan johar amir khan mean seriously somewhere someone use account thats surecz gtg notifications follow people
@justicesushi,rent flat belong amir khans maternal unclesaid reporter
@barkhatrehan,stupid idiots film make amir khan misguide mind young children respect teachers
@aamirworld,shukran
@sidhearrts,know amir khan talented actor perfectionist movies watch many time infact akshay kumars movies solid theme u know favourite actor actress mine love sidnaaz time thats
@aryanaamirfan,people say amir khan dont fan social media wanna prove wrong
@iampratibha,definitely must watch movies cant remember name lol
@urbanrangoli,south mein fir bhi original hota hai bollywood copy good original movies manage make itne untalented hai ye shudder think amir khan forest gump
@dishado,love amir khan
@beingtanveer,ok bro js pan india star bigger salman hindi consider india wide yes bigger salman amir khan
@blochreg,amir khan deserve worst
@mohine,amir abdullah khan niazi fly dream
@kb,hi grateful
@skysports,corona virus covid
@notthatbigian,sarah cox stu francis ooo could crush grape crackajack amir khan boxer dave spikey phoenix nightsi think wonno
@douha,yes douha haha another classic amir khans bollywood movies step others
@urstrulysande,comic time iddaru aa aspect lo perfectionists babu amir khan ki pedda fan kooda
